;name;date;party;okrug;drived;registered;elected
0;Литвинов Андрей Александрович;23.09.1963;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";2;выдвинут;зарегистрирован;
1;Волков Николай Васильевич;31.05.1958;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
2;Жигулин Михаил Иванович;08.09.1960;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
3;Иванов Николай Михайлович;29.05.1950;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
4;Мачинская Татьяна Васильевна;27.07.1957;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
5;Мясоедов Алексей Иванович;20.07.1996;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
6;Петухова Наталья Александровна;02.09.1956;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
7;Баканас Елена Сергеевна;02.09.1976;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
8;Бебко Вадим Владиславович;30.10.1980;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
9;Давыдов Аркадий Владимирович;02.10.1976;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
10;Звягинцев Петр Семенович;18.01.1948;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
11;Кузьмин Владимир Николаевич;21.04.1983;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
12;Маслов Андрей Анатольевич;03.08.1963;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
13;Потапенкова Светлана Михайловна;30.12.1979;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
14;Сергевнин Дмитрий Алексеевич;20.07.1988;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
15;Симашкова Татьяна Александровна;12.06.1947;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
16;Терехов Дмитрий Юрьевич;18.01.1966;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
17;Александров Никита Сергеевич;05.03.1989;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
18;Ронжина Галина Григорьевна;17.05.1948;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
19;Тарасенко Виталий Николаевич;30.07.1980;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
20;Умнов Вячеслав Иванович;19.06.1950;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
21;Баскакова Наталья Анатольевна;11.10.1979;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
22;Гаязова Оксана Николаевна;30.06.1981;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
23;Караханова Валя Сергеевна;27.05.1959;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
24;Мещеряков Борис Борисович;26.12.1964;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
25;Миронова Валентина Никитична;26.02.1960;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
26;Морозов Олег Андреевич;05.10.1983;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
27;Пачеко-Рейнага Галина Николаевна;23.08.1957;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
28;Сидорова Вера Петровна;13.07.1959;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
29;Сулемов Валерий Юрьевич;23.08.1952;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
30;Филитов Егор Владимирович;02.02.1974;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
31;Андреева Юлия Андреевна;08.04.1992;"Региональное отделение в Москве Политической партии ""Партия народной свободы (ПАРНАС)""";1;выдвинут;зарегистрирован;
32;Алексеев Виталий Борисович;04.02.1940;"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Москве";1;выдвинут;зарегистрирован;
33;Долбешкин Константин Павлович;13.08.1960;"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Москве";2;выдвинут;зарегистрирован;
34;Коляденко Ратмир Владимирович;22.10.1978;"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Москве";1;выдвинут;зарегистрирован;
35;Соловьев Виктор Сергеевич;11.10.1990;"Региональное отделение Политической партии ""Общероссийская политическая партия ""ДОСТОИНСТВО"" в городе Москва";2;выдвинут;зарегистрирован;
36;Воронков Александр Викторович;22.12.1982;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";1;выдвинут;зарегистрирован;
37;Лебедев Владислав Игоревич;22.09.1990;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;зарегистрирован;
38;Лик Сергей Владимирович;17.02.1981;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;отказ в регистрации;
39;Неймарк Владислав Александрович;23.01.1992;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;зарегистрирован;
40;Пахоменко Михаил Александрович;20.09.1984;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;зарегистрирован;
41;Ворновская Светлана Сергеевна;08.07.1953;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
42;Ерохин Николай Викторович;08.01.1978;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;2;выдвинут;зарегистрирован;
43;Мазуров Дмитрий Александрович;11.07.1983;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;2;выдвинут;зарегистрирован;
44;Чаплинский Сергей Михайлович;02.01.1957;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
45;Алексанян Оганес Вардгесович;20.02.1997;Самовыдвижение;2;выдвинут;зарегистрирован;
46;Боброва Анастасия Андреевна;22.09.1997;Самовыдвижение;2;выдвинут;зарегистрирован;
47;Герасимова Ирина Николаевна;04.08.1959;Самовыдвижение;2;выдвинут;зарегистрирован;
48;Ефанов Сергей Юрьевич;18.05.1973;Самовыдвижение;1;выдвинут;зарегистрирован;
49;Жирнов Александр Владимирович;17.10.1979;Самовыдвижение;2;выдвинут;отказ в регистрации;
50;Иванова Александра Владимировна;28.04.1987;Самовыдвижение;2;выдвинут;зарегистрирован;
51;Кондратьева Татьяна Сергеевна;22.10.1960;Самовыдвижение;1;выдвинут;зарегистрирован;
52;Кузенкин Александр Валентинович;10.11.1957;Самовыдвижение;2;выдвинут;зарегистрирован;
53;Пархоменко Михаил Генрихович;13.02.1985;Самовыдвижение;2;выдвинут;зарегистрирован;
54;Шматков Сергей Алексеевич;06.09.1988;Самовыдвижение;1;выдвинут;зарегистрирован;
