;name;date;party;okrug;drived;registered;elected
0;Джантемиров Зелимхан Исаевич;07.08.1978;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
1;Кантимиров Евгений Анатольевич;06.07.1971;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
2;Волгин Юрий Сергеевич;26.11.1990;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
3;Коленков Андрей Аркадьевич;07.04.1968;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
4;Кузьмина Вероника Александровна;28.03.1997;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
5;Орлов Геннадий Иванович;22.10.1938;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
6;Семенов Дмитрий Борисович;08.09.1968;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
7;Ситников Александр Валентинович;03.06.1968;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
8;Токаревская Елена Владимировна;10.07.1973;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
9;Третьяков Андрей Викторович;28.12.1967;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
10;Фортунатов Валерий Станиславович;04.02.1985;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
11;Цыганова Анна Владимировна;19.10.1987;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
12;Воронцов Евгений Владимирович;29.03.1979;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
13;Емельянов Антон Михайлович;14.10.1991;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
14;Коган Юрий Владимирович;20.11.1950;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
15;Королев Валентин Андреевич;30.11.1993;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
16;Наконечный Юрий Валерьевич;21.05.1990;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
