;name;date;party;okrug;drived;registered;elected
0;Затолочный Денис Владимирович;21.05.1988;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
1;Курносов Андрей Юрьевич;06.04.1982;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
2;Былов Николай Владимирович;15.07.1954;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
3;Зайцев Виктор Викторович;07.04.1958;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
4;Качелин Александр Сергеевич;24.11.1979;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
5;Качелина Валентина Ивановна;10.01.1954;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
6;Макаренко Светлана Александровна;03.05.1956;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
7;Омельченко Валерий Владимирович;24.02.1947;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
8;Русова Наталья Николаевна;11.02.1967;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
9;Хидашели Сергей Ильич;19.06.1969;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
10;Хубиева Мария Кемаловна;18.06.1981;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
11;Янин Олег Евгеньевич;15.05.1968;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
12;Байкиев Тимур Ильмирович;27.05.1990;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
13;Виноградов Виталий Анатольевич;12.04.1975;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
14;Воскобойник Анатолий Иванович;27.03.1967;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;выбывший (после регистрации) кандидат;
15;Енютин Артем Сергеевич;07.02.1993;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
16;Паршонок Никита Александрович;12.04.1991;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
17;Полевов Станислав Владимирович;14.03.1991;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
18;Соломатина Виктория Валерьевна;11.09.1974;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
19;Авдошкина Зинаида Николаевна;07.12.1958;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
20;Донских Алевтина Борисовна;01.05.1960;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
21;Закирова Татьяна Михайловна;24.02.1957;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
22;Корягина Наталья Викторовна;08.10.1972;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
23;Курняева Марина Витальевна;20.06.1963;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
24;Максимычева Мария Александровна;25.12.1979;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
25;Никитин Игорь Всеволодович;28.11.1959;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
26;Олексюк Наталья Борисовна;28.06.1960;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
27;Семин Сергей Александрович;03.10.1953;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
28;Томилин Дмитрий Валентинович;26.09.1969;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
29;Журавлев Алексей Владимирович;25.07.1975;"Московское городское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ""";1;выдвинут;зарегистрирован;
30;Чугуев Иван Федорович;06.02.1957;"Московское городское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ""";2;выдвинут;отказ в регистрации;
31;Савёлов Игорь Игоревич;02.07.1961;"Региональное отделение в Москве Политической партии ""Партия народной свободы (ПАРНАС)""";2;выдвинут;зарегистрирован;
32;Графов Дмитрий Борисович;27.03.1964;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";1;выдвинут;зарегистрирован;
33;Костин Иван Александрович;26.04.1989;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";1;выдвинут;зарегистрирован;
34;Нарышкин Кирилл Константинович;06.07.1984;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";1;выдвинут;зарегистрирован;
35;Баранов Сергей Владимирович;04.11.1975;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
36;Бисембаев Марат Хамзеевич;25.09.1953;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
37;Василига Лилия Васильевна;28.08.1967;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;2;выдвинут;зарегистрирован;
38;Ветров Юрий Владимирович;31.10.1961;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
39;Мещеринов Григорий Алексеевич;01.07.1981;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
40;Нуждин Александр Вячеславович;09.03.1982;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;1;выдвинут;зарегистрирован;
41;Абулов Георгий Мерабович;29.01.1968;Самовыдвижение;2;выдвинут;зарегистрирован;
42;Батурина Ольга Михайловна;22.07.1985;Самовыдвижение;1;выдвинут;зарегистрирован;
43;Велесевич Сергей Сергеевич;19.10.1976;Самовыдвижение;1;выдвинут;зарегистрирован;
44;Давыдова Елена Юрьевна;07.11.1971;Самовыдвижение;2;выдвинут;зарегистрирован;
