;name;date;party;okrug;drived;registered;elected
0;Двинянин Егор Александрович;10.11.1987;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";1;выдвинут;зарегистрирован;
1;Кравченко Дмитрий Игоревич;02.01.1967;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
2;Краснова Людмила Никифоровна;17.05.1955;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
3;Лунгрен Алексей Викторович;17.04.1983;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
4;Семенов Александр Арсентьевич;14.09.1963;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
5;Бубенцов Александр Евгеньевич;06.04.1965;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
6;Дирин Александр Викторович;21.11.1985;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
7;Крючков Вадим Александрович;31.03.1969;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
8;Петрусенко Вера Павловна;24.01.1963;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;отказ в регистрации;
9;Селифанов Андрей Игоревич;27.10.1977;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
