;name;date;party;okrug;drived;registered;elected
0;Мальцев Виктор Александрович;02.02.1972;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";4;выдвинут;зарегистрирован;
1;Нестеренко Людмила Николаевна;01.04.1960;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";1;выдвинут;зарегистрирован;
2;Сиднев Виктор Владимирович;02.03.1955;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";4;выдвинут;зарегистрирован;
3;Амирханов Яков Сергеевич;27.08.1966;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;3;выдвинут;зарегистрирован;
4;Голованенко Луиза Ришатовна;14.11.1990;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
5;Григоренко Мария Михайловна;27.10.1987;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;4;выдвинут;отказ в регистрации;
6;Кабакова Зоя Николаевна;26.08.1954;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;3;выдвинут;выбывший (после регистрации) кандидат;
7;Мальцева Наталия Юрьевна;13.02.1965;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;выбывший (после регистрации) кандидат;
8;Мищенко Людмила Васильевна;12.02.1943;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
9;Печенина Татьяна Васильевна;10.05.1958;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;4;выдвинут;зарегистрирован;
10;Родионова Ольга Васильевна;15.11.1952;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
11;Северов Геннадий Евгеньевич;29.06.1966;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
12;Сухов Вадим Игоревич;26.12.1984;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
13;Федотова Яна Сергеевна;18.09.1984;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;3;выдвинут;выбывший (после регистрации) кандидат;
14;Шанина Наталья Николаевна;22.05.1977;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;4;выдвинут;выбывший (после регистрации) кандидат;
15;Берсенев Александр Валериевич;27.06.1977;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
16;Богатырев Алексей Вячеславович;16.02.1977;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";4;выдвинут;зарегистрирован;
