;name;date;party;okrug;drived;registered;elected
0;Кузнецов Алексей Евгеньевич;31.03.1991;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";3;выдвинут;зарегистрирован;
1;Лозицкая Ольга Игоревна;21.11.1983;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";2;выдвинут;зарегистрирован;
2;Шипнягов Антон Владиславович;27.12.1981;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";1;выдвинут;зарегистрирован;
3;Голенков Константин Михайлович;03.12.1986;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;отказ в регистрации;
4;Еренков Антон Павлович;03.02.1987;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;3;выдвинут;зарегистрирован;
5;Измайлович Людмила Михайловна;10.03.1958;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
6;Смирнова Ирина Ивановна;05.02.1962;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
7;Афонина Анастасия Вячеславовна;07.01.1997;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
8;Бородулин Вячеслав Владимирович;08.07.1971;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;избр.
9;Григорьев Юрий Герасимович;23.06.1955;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
10;Громов Василий Евгеньевич;12.11.1974;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
11;Лавринович Вячеслав Валерьевич;20.10.1954;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
12;Логацкая Татьяна Михайловна;25.02.1957;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;избр.
13;Лысков Александр Дмитриевич;25.03.1997;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
14;Николаева Анна Владимировна;13.05.1975;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
15;Покаместова Людмила Алексеевна;16.04.1955;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
16;Прусакова Валентина Константиновна;06.10.1974;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
17;Рубанова Юлия Владиславовна;02.03.1976;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
18;Рычагова Валерия Михайловна;27.12.1997;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
19;Сидорчук Марина Викторовна;16.04.1964;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
20;Трифонов Роман Демьянович;04.11.1991;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;избр.
21;Шлычков Роман Вадимович;14.10.1997;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
22;Баранников Владимир Анатольевич;22.01.1950;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
23;Ведмедь Артур Алексеевич;29.07.1996;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;зарегистрирован;
24;Городецкий Георгий Евгеньевич;13.09.1989;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;зарегистрирован;
25;Золочевский Виталий Сергеевич;23.12.1986;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
26;Каланча Иван Петрович;06.05.1988;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
27;Лобынцев Сергей Владимирович;25.04.1970;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;выбывший (после регистрации) кандидат;
28;Марусов Сергей Александрович;09.07.1979;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;зарегистрирован;
29;Миронов Михаил Евгеньевич;19.10.1987;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;зарегистрирован;
30;Митяев Александр Константинович;07.04.1997;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
31;Осадчий Николай Витальевич;12.09.1991;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
32;Белоус Ирина Викторовна;06.10.1974;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
33;Воробьева Вера Владимировна;24.11.1948;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
34;Гаджиева Саида Мердановна;24.03.1987;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";3;выдвинут;зарегистрирован;
35;Гальперин Алексей Владимирович;25.04.1982;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;
36;Житенев Андрей Геннадиевич;07.02.1974;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";3;выдвинут;зарегистрирован;избр.
37;Карташев Сергей Александрович;11.09.1970;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";3;выдвинут;зарегистрирован;избр.
38;Козлов Алексей Владимирович;08.05.1988;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;
39;Королев Павел Владимирович;14.06.1983;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";3;выдвинут;зарегистрирован;избр.
40;Наумова Нина Михайловна;22.11.1951;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
41;Погорелова Людмила Григорьевна;27.09.1952;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;избр.
42;Попков Михаил Александрович;12.04.1955;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";3;выдвинут;зарегистрирован;избр.
43;Спирин Максим Сергеевич;08.07.1993;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;
44;Цулева Нина Дмитриевна;02.08.1951;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
45;Шипицына Ирина Николаевна;30.06.1950;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";1;выдвинут;зарегистрирован;
46;Шорина Тамара Борисовна;01.11.1955;"Московское городское региональное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""";2;выдвинут;зарегистрирован;избр.
47;Морозов Виталий Всеволодович;13.03.1986;"Региональное отделение в городе Москве Всероссийской политической партии ""Партия Великое Отечество""";1;выдвинут;зарегистрирован;
48;Свидерский Александр Владимирович;07.05.1979;"Региональное отделение в Москве Политической партии ""Партия народной свободы (ПАРНАС)""";3;выдвинут;зарегистрирован;
49;Аргунов Олег Владимирович;15.08.1979;"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Москве";1;выдвинут;зарегистрирован;
50;Бохан Татьяна Алексеевна;08.09.1995;"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Москве";2;выдвинут;зарегистрирован;
51;Вирясова Галина Михайловна;03.03.1992;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;выбывший (после регистрации) кандидат;
52;Ефимов Николай Викторович;22.10.1986;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;зарегистрирован;
53;Кайгородова Анастасия Александровна;11.10.1974;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";3;выдвинут;зарегистрирован;избр.
54;Кочетков Алексей Иванович;19.03.1978;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;зарегистрирован;избр.
55;Менжерицкий Сергей Александрович;15.12.1963;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";1;выдвинут;зарегистрирован;
56;Мороз Павел Евгеньевич;20.03.1969;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";2;выдвинут;зарегистрирован;
57;Чемширов Константин Петрович;02.11.1980;"Региональное отделение Политической партии ""Российская объединенная демократическая партия ""ЯБЛОКО"" в городе Москве";3;выдвинут;зарегистрирован;
58;Нефёдов Сергей Иванович;21.06.1947;"Региональное отделение политической партии ""Российская партия пенсионеров за справедливость"" в городе Москве";2;выдвинут;зарегистрирован;
59;Итин Григорий Леонидович;06.01.1984;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;3;выдвинут;зарегистрирован;
60;Костин Юрий Владимирович;11.07.1980;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;2;выдвинут;зарегистрирован;
61;Световидов Дмитрий Евгеньевич;28.09.1960;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;3;выдвинут;зарегистрирован;
62;Смолин Павел Александрович;23.05.1983;Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве;2;выдвинут;зарегистрирован;
