;name;date;party;okrug;drived;registered;elected
0;Борисов Вячеслав Борисович;05.12.1988;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";2;выдвинут;зарегистрирован;
1;Васеев Евгений Сергеевич;26.05.1983;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";1;выдвинут;зарегистрирован;
2;Илямаков Алексей Николаевич;31.01.1989;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";1;выдвинут;зарегистрирован;
3;Коваленко Александр Валерьевич;25.03.1986;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";1;выдвинут;зарегистрирован;
4;Соколов Александр Борисович;30.01.1991;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";2;выдвинут;зарегистрирован;
5;Ашмарин Илья Олегович;15.11.1993;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
6;Бондяшов Виктор Вячеславович;03.01.1994;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
7;Горбачев Алексей Вячеславович;09.11.1977;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
8;Захарова Наталья Ивановна;28.03.1959;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
9;Косаченко Святослав Валерьевич;17.05.1978;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;утративший статус выдвинутого кандидата;;
10;Лазарева Марина Михайловна;27.11.1964;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
11;Лялин Андрей Борисович;28.09.1966;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
12;Пароконный Юрий Владимирович;10.07.1963;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
13;Савина Галина Николаевна;03.03.1962;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
14;Бычкова Татьяна Васильевна;02.01.1951;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
15;Зелепухин Александр Михайлович;06.04.1967;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
16;Максимов Данила Владимирович;03.07.1980;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
17;Неклюдова Татьяна Васильевна;31.08.1960;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
18;Никульчев Константин Викторович;17.03.1983;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
19;Овраменко Александр Иванович;19.01.1968;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
20;Фомин Никита Алексеевич;03.09.1985;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
