;name;date;party;okrug;drived;registered;elected
0;Кондусова Ольга Сергеевна;22.03.1980;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";3;выдвинут;зарегистрирован;
1;Королёв Сергей Николаевич;23.06.1970;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";3;выдвинут;зарегистрирован;
2;Романов Владимир Валерьянович;16.08.1979;"Московское городское отделение Всероссийской политической партии ""ПАРТИЯ РОСТА""";2;выдвинут;зарегистрирован;
3;Баринов Алексей Николаевич;29.07.1961;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;2;выдвинут;зарегистрирован;
4;Климов Сергей Владимирович;27.03.1988;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;зарегистрирован;
5;Родионова Мария Николаевна;04.11.1995;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;3;выдвинут;зарегистрирован;
6;Спесивцева Александра Александровна;12.10.1996;МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ;1;выдвинут;отказ в регистрации;
7;Лободюк Надежда Николаевна;18.09.1951;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;зарегистрирован;
8;Локтев Дмитрий Александрович;12.08.1982;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;зарегистрирован;
9;Мозокин Николай Владимирович;30.11.1984;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";1;выдвинут;отказ в регистрации;
10;Павлова Елена Анатольевна;01.10.1961;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
11;Романцов Дмитрий Владимирович;26.03.1971;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";3;выдвинут;зарегистрирован;
12;Яфаров Ришат Лутфиевич;28.03.1947;"МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""";2;выдвинут;выбывший (после регистрации) кандидат;
13;Грачева Нелли Анатольевна;01.11.1964;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;зарегистрирован;
14;Латышева Татьяна Денисовна;13.02.1955;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;отказ в регистрации;
15;Любченко Дмитрий Аркадьевич;02.05.1981;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
16;Марусов Сергей Александрович;09.07.1979;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
17;Митяев Александр Константинович;07.04.1997;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;3;выдвинут;зарегистрирован;
18;Осадчий Николай Витальевич;12.09.1991;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;2;выдвинут;зарегистрирован;
19;Селин Михаил Владимирович;11.03.1986;Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России;1;выдвинут;зарегистрирован;
